season,rank,team,conference,elo,wins,losses,games_played,win_pct,record,best_win_team,best_win_elo,sos,updated_at,resume_score
2009,173,URI,NA,657.9,0,2,2,0,0-2,NA,NA,1496.4,2026-05-21T03:43:14Z,NA
2009,174,Tenn Tech,NA,649.4,0,3,3,0,0-3,NA,NA,1543.9,2026-05-21T03:43:14Z,NA
2009,175,Sacramento St,NA,641.8,5,6,11,0.455,5-6,N Colorado,541.1,748.2,2026-05-21T03:43:14Z,2468.1
2009,176,Northeastern,NA,641.6,0,2,2,0,0-2,NA,NA,1413.4,2026-05-21T03:43:14Z,NA
2009,177,Presbyterian,NA,630.5,0,3,3,0,0-3,NA,NA,1146.2,2026-05-21T03:43:14Z,NA
2009,178,Texas Southern,NA,627.4,0,3,3,0,0-3,NA,NA,1407,2026-05-21T03:43:14Z,NA
2009,179,Chattanooga,NA,626.9,0,3,3,0,0-3,NA,NA,1742.5,2026-05-21T03:43:14Z,NA
2009,180,Albany,NA,611.7,0,2,2,0,0-2,NA,NA,1015.1,2026-05-21T03:43:14Z,NA
2009,181,The Citadel,NA,610.4,0,3,3,0,0-3,NA,NA,1481.9,2026-05-21T03:43:14Z,NA
2009,182,E Michigan,MAC,608.9,0,12,12,0,0-12,NA,NA,1357.9,2026-05-21T03:43:14Z,NA
2009,183,Fordham,NA,603.8,1,0,1,1,1-0,Old Dominion,1111.7,1111.7,2026-05-21T03:43:14Z,1111.7
2009,184,Murray State,NA,573.6,0,3,3,0,0-3,NA,NA,1201.2,2026-05-21T03:43:14Z,NA
2009,185,UT Martin,NA,572.2,0,3,3,0,0-3,NA,NA,1109.3,2026-05-21T03:43:14Z,NA
2009,186,W Kentucky,NA,571.7,0,12,12,0,0-12,NA,NA,1343,2026-05-21T03:43:14Z,NA
2009,187,W Carolina,NA,564.8,0,3,3,0,0-3,NA,NA,1250.3,2026-05-21T03:43:14Z,NA
2009,188,N Colorado,NA,541.1,0,2,2,0,0-2,NA,NA,1078.2,2026-05-21T03:43:14Z,NA
2009,189,UC Davis,NA,535.4,0,3,3,0,0-3,NA,NA,1503.1,2026-05-21T03:43:14Z,NA
2009,190,N Arizona,NA,533.2,0,3,3,0,0-3,NA,NA,1450.9,2026-05-21T03:43:14Z,NA
2009,191,Indiana State,NA,479.4,0,3,3,0,0-3,NA,NA,1064.4,2026-05-21T03:43:14Z,NA
2009,192,Portland State,NA,431.6,0,2,2,0,0-2,NA,NA,1234.8,2026-05-21T03:43:14Z,NA
2009,193,Idaho State,NA,426.8,0,3,3,0,0-3,NA,NA,1345.8,2026-05-21T03:43:14Z,NA
2009,194,South Alabama,Sun Belt,381.9,1,0,1,1,1-0,Huntingdon,-6.9,-6.9,2026-05-21T03:43:14Z,-6.9
2009,195,Jacksonville,NA,186.2,0,1,1,0,0-1,NA,NA,1111.7,2026-05-21T03:43:14Z,NA
2009,196,Lafayette,NA,183.6,0,1,1,0,0-1,NA,NA,1342,2026-05-21T03:43:14Z,NA
2009,197,Campbell,NA,182.2,0,1,1,0,0-1,NA,NA,1111.7,2026-05-21T03:43:14Z,NA
2009,198,Georgetown,NA,181.9,0,1,1,0,0-1,NA,NA,1111.7,2026-05-21T03:43:14Z,NA
2009,199,Savannah State,NA,181.4,0,1,1,0,0-1,NA,NA,1111.7,2026-05-21T03:43:14Z,NA
2009,200,North Dakota,NA,181.3,0,1,1,0,0-1,NA,NA,1940.7,2026-05-21T03:43:14Z,NA
2009,201,Chowan,NA,181.2,0,1,1,0,0-1,NA,NA,1111.7,2026-05-21T03:43:14Z,NA
2009,202,Austin Peay,Independent,181.1,0,1,1,0,0-1,NA,NA,1195.9,2026-05-21T03:43:14Z,NA
2009,203,Florida A&M,NA,181,0,1,1,0,0-1,NA,NA,1883.4,2026-05-21T03:43:14Z,NA
2009,204,Grambling St,NA,180.6,0,1,1,0,0-1,NA,NA,1797.9,2026-05-21T03:43:14Z,NA
2009,205,Angelo St,NA,180.4,0,1,1,0,0-1,NA,NA,1221,2026-05-21T03:43:14Z,NA
2009,206,Howard,NA,180.4,0,1,1,0,0-1,NA,NA,1815.5,2026-05-21T03:43:14Z,NA
2009,207,PV A&M,NA,180.4,0,1,1,0,0-1,NA,NA,885.1,2026-05-21T03:43:14Z,NA
2009,208,Virginia Union,NA,180.4,0,1,1,0,0-1,NA,NA,1111.7,2026-05-21T03:43:14Z,NA
2009,209,Jackson State,NA,180.3,0,1,1,0,0-1,NA,NA,1788.1,2026-05-21T03:43:14Z,NA
2009,210,WV Wesleyan,NA,179.7,0,1,1,0,0-1,NA,NA,1342,2026-05-21T03:43:14Z,NA
2009,211,Southern,NA,179.6,0,1,1,0,0-1,NA,NA,1187.3,2026-05-21T03:43:14Z,NA
2009,212,West Chester,NA,179.5,0,1,1,0,0-1,NA,NA,1372.4,2026-05-21T03:43:14Z,NA
2009,213,Alabama A&M,NA,178,0,1,1,0,0-1,NA,NA,1195.9,2026-05-21T03:43:14Z,NA
2009,214,NC A&T,NA,176.2,0,1,1,0,0-1,NA,NA,984.8,2026-05-21T03:43:14Z,NA
2009,215,Miss Valley St,NA,175.9,0,1,1,0,0-1,NA,NA,1075.6,2026-05-21T03:43:14Z,NA
2009,216,Morgan State,NA,175.6,0,1,1,0,0-1,NA,NA,1098.8,2026-05-21T03:43:14Z,NA
2009,217,St. Joseph's (IN),NA,170.6,0,1,1,0,0-1,NA,NA,926.9,2026-05-21T03:43:14Z,NA
2009,218,Wagner,NA,165.6,0,1,1,0,0-1,NA,NA,819.4,2026-05-21T03:43:14Z,NA
2009,219,Huntingdon,NA,-6.9,0,1,1,0,0-1,NA,NA,381.9,2026-05-21T03:43:14Z,NA
