season,rank,team,conference,elo,wins,losses,games_played,win_pct,record,best_win_team,best_win_elo,sos,conf_champ,updated_at,resume_score,pr,baseline_elo,baseline_date,elo_change
2026,110,Miami OH,MAC,648.2,1,2,3,0.333,1-2,Holy Cross,122.1,834.8,NA,2026-09-26T11:31:45Z,0,335.1,641.9,2026-09-26,6.3
2026,111,Old Dominion,Sun Belt,646,1,2,3,0.333,1-2,Norfolk St,365.5,766.1,NA,2026-09-26T11:31:45Z,0,334,740.5,2026-09-20,-94.5
2026,112,Georgia Tech,ACC,630.6,1,2,3,0.333,1-2,Mercer,125.2,634.6,NA,2026-09-26T11:31:45Z,0,326,631.3,2026-09-25,-0.7
2026,113,SE Louisiana,FCS,621.5,1,1,2,0.5,1-1,UL Monroe,439.4,657.3,NA,2026-09-26T11:31:45Z,0,410,134.7,2026-09-20,486.8
2026,114,Ball State,MAC,615.7,1,2,3,0.333,1-2,Stony Brook,124,814.4,NA,2026-09-26T11:31:45Z,0,318.3,615.5,2026-09-26,0.2
2026,115,Montana St,FCS,614,1,0,1,1,1-0,Nevada,475.7,475.7,NA,2026-09-26T11:31:45Z,0,614,641.1,2026-09-20,-27.1
2026,116,Rice,AAC,606.3,1,2,3,0.333,1-2,Hou Christian,124.3,818.3,NA,2026-09-26T11:31:45Z,0,313.4,686.1,2026-09-20,-79.8
2026,117,NC State,ACC,603.1,1,2,3,0.333,1-2,Richmond,106.6,734.6,NA,2026-09-26T11:31:45Z,0,311.8,632.7,2026-09-20,-29.6
2026,118,Louisiana Tech,Sun Belt,595.9,1,2,3,0.333,1-2,N'Western St,109.7,767.6,NA,2026-09-26T11:31:45Z,0,308.1,709,2026-09-20,-113.1
2026,119,UNLV,Mountain West,586.4,1,2,3,0.333,1-2,Hawai'i,524.5,750.9,NA,2026-09-26T11:31:45Z,0,303.2,492.4,2026-09-20,94
