season,rank,team,conference,elo,wins,losses,games_played,win_pct,record,best_win_team,best_win_elo,sos,conf_champ,updated_at
2011,289,Iowa,Big Ten Conference,1333.1,11,20,31,0.355,11-20,Purdue,1899.5,1669.9,NA,2026-06-04T06:05:33Z
2011,290,UT Arlington,NA,1332.8,13,16,29,0.448,13-16,Sam Houston,1585.6,1469.7,NA,2026-06-04T06:05:33Z
2011,291,Stetson,ASUN Conference,1332.2,8,23,31,0.258,8-23,ETSU,1661.4,1477.2,NA,2026-06-04T06:05:33Z
2011,292,Army,Patriot League,1330,11,19,30,0.367,11-19,Bucknell,1656.9,1410.1,NA,2026-06-04T06:05:33Z
2011,293,Colgate,Patriot League,1329.7,7,23,30,0.233,7-23,Longwood,1555.8,1427.7,NA,2026-06-04T06:05:33Z
2011,294,Stony Brook,America East Conference,1328,15,17,32,0.469,15-17,Vermont,1747.6,1433.8,NA,2026-06-04T06:05:33Z
2011,295,UC Davis,Big West Conference,1323.8,10,20,30,0.333,10-20,CSU Northridge,1644.4,1469.6,NA,2026-06-04T06:05:33Z
2011,296,SC State,Mid-Eastern Athletic Conference,1320.8,10,22,32,0.312,10-22,MD-Eastern,1554.5,1385.6,NA,2026-06-04T06:05:33Z
2011,297,Delaware St,Mid-Eastern Athletic Conference,1320,9,21,30,0.3,9-21,Maine,1575.1,1450.1,NA,2026-06-04T06:05:33Z
2011,298,Louisiana Tech,Western Athletic Conference,1315.2,12,20,32,0.375,12-20,Idaho,1676.3,1502.4,NA,2026-06-04T06:05:33Z
2011,299,Loyola MD,Metro Atlantic Athletic Conference,1308.7,15,15,30,0.5,15-15,Iona,1742.2,1528.8,NA,2026-06-04T06:05:33Z
2011,300,LMU,West Coast Conference,1307.7,11,21,32,0.344,11-21,Portland,1670.7,1497.3,NA,2026-06-04T06:05:33Z
2011,301,Elon,Southern Conference,1307.1,14,17,31,0.452,14-17,Davidson,1639.9,1463.2,NA,2026-06-04T06:05:33Z
2011,302,Delaware,Colonial Athletic Association,1300.4,14,17,31,0.452,14-17,Old Dominion,1785.5,1553.5,NA,2026-06-04T06:05:33Z
2011,303,J'Ville St,NA,1296.8,5,25,30,0.167,5-25,SE Missouri St,1639.7,1403.1,NA,2026-06-04T06:05:33Z
2011,304,E Washington,Big Sky Conference,1290.7,10,20,30,0.333,10-20,N Arizona,1642.6,1519,NA,2026-06-04T06:05:33Z
2011,305,Radford,NA,1287.9,5,24,29,0.172,5-24,High Point,1457.6,1471.6,NA,2026-06-04T06:05:33Z
2011,306,Lafayette,Patriot League,1284.4,13,19,32,0.406,13-19,American,1593.3,1471.7,NA,2026-06-04T06:05:33Z
2011,307,Oregon St,Pac-12 Conference,1283.1,11,20,31,0.355,11-20,Arizona,1860,1580.8,NA,2026-06-04T06:05:33Z
2011,308,CA Baptist,NA,1283,1,1,2,0.5,1-1,Southern Utah,1054.9,1356.4,NA,2026-06-04T06:05:33Z
2011,309,South Alabama,Sun Belt Conference,1277.6,12,16,28,0.429,12-16,Troy,1657.8,1481.5,NA,2026-06-04T06:05:33Z
