season,rank,team,conference,elo,wins,losses,games_played,win_pct,record,best_win_team,best_win_elo,sos,updated_at,draws,country
2009,132,Nice,Ligue 1,1479.9,13,14,27,0.481,13-14,Paris SG,1586.4,1517.1,2026-05-20T21:13:26Z,11,FRA
2009,133,Cercle Brugge,Pro League,1479.7,14,15,29,0.483,14-15,Anderlecht,1840.4,1511.1,2026-05-20T21:13:26Z,5,BEL
2009,134,Doncaster,Championship,1479,17,22,39,0.436,17-22,Sheffield United,1701.3,1500.3,2026-05-20T21:13:26Z,7,ENG
2009,135,Pacos Ferreira,Primeira Liga,1478.2,9,14,23,0.391,9-14,Leixoes,1512.9,1524.2,2026-05-20T21:13:26Z,7,POR
2009,136,Santander,La Liga,1478,12,16,28,0.429,12-16,Sevilla,1643.8,1497.4,2026-05-20T21:13:26Z,10,ESP
2009,137,West Ham,Premier League,1476.8,14,15,29,0.483,14-15,Fulham,1546.8,1491,2026-05-20T21:13:26Z,9,ENG
2009,138,Sheffield Weds,Championship,1474,16,17,33,0.485,16-17,Sheffield United,1701.3,1487.8,2026-05-20T21:13:26Z,13,ENG
2009,139,Cittadella,Serie B,1471.5,11,14,25,0.44,11-14,Brescia,1576.4,1489.9,2026-05-20T21:13:26Z,17,ITA
2009,140,Eskisehirspor,Süper Lig,1470.1,10,14,24,0.417,10-14,Bursaspor,1638.9,1526.2,2026-05-20T21:13:26Z,10,TUR
2009,141,Maritimo,Primeira Liga,1469.6,9,11,20,0.45,9-11,Nacional,1618.8,1504.9,2026-05-20T21:13:26Z,10,POR
2009,142,Guimaraes,Primeira Liga,1469.1,10,12,22,0.455,10-12,Benfica,1720.4,1530.5,2026-05-20T21:13:26Z,8,POR
2009,143,Salernitana,Serie B,1468.4,14,19,33,0.424,14-19,Bari,1734.3,1518,2026-05-20T21:13:26Z,9,ITA
2009,144,Dundee United,Scottish Premiership,1462.6,13,11,24,0.542,13-11,Hearts,1540.3,1483.4,2026-05-20T21:13:26Z,14,SCO
2009,145,Frosinone,Serie B,1460.1,13,15,28,0.464,13-15,Piacenza,1496.2,1486.5,2026-05-20T21:13:26Z,14,ITA
2009,146,Vicenza,Serie B,1459.1,13,16,29,0.448,13-16,Sassuolo,1517.3,1492.7,2026-05-20T21:13:26Z,13,ITA
2009,147,Atalanta,Serie A,1458.6,13,17,30,0.433,13-17,Inter,1837.6,1507,2026-05-20T21:13:26Z,8,ITA
2009,148,Nijmegen,Eredivisie,1457.4,9,10,19,0.474,9-10,PSV Eindhoven,1749.7,1520.7,2026-05-20T21:13:26Z,15,NED
2009,149,Charleroi,Pro League,1456.3,12,15,27,0.444,12-15,Standard,1829.7,1513.9,2026-05-20T21:13:26Z,7,BEL
2009,150,Murcia,La Liga 2,1456.3,14,18,32,0.438,14-18,Sociedad,1603.5,1506.4,2026-05-20T21:13:26Z,10,ESP
2009,151,Buyuksehyr,Süper Lig,1455,12,16,28,0.429,12-16,Sivasspor,1703,1495.1,2026-05-20T21:13:26Z,6,TUR
