season,rank,team,conference,elo,wins,losses,games_played,win_pct,record,best_win_team,best_win_elo,sos,updated_at
2015,332,SC State,NA,1088.5,11,22,33,0.333,11-22,Houston,1492.9,1318.7,2026-05-20T21:30:45Z
2015,333,Marist,NA,1088.4,7,25,32,0.219,7-25,Canisius,1551.6,1475.9,2026-05-20T21:30:45Z
2015,334,Bethune,NA,1053.9,11,21,32,0.344,11-21,Delaware St,1348,1204.9,2026-05-20T21:30:45Z
2015,335,Rochester Univ.,NA,1050.4,0,4,4,0,0-4,NA,NA,1597.3,2026-05-20T21:30:45Z
2015,336,Jacksonville,NA,1039.1,10,22,32,0.312,10-22,FGCU,1676.2,1320.1,2026-05-20T21:30:45Z
2015,337,Stetson,NA,1035.9,9,22,31,0.29,9-22,N Kentucky,1358.5,1304.5,2026-05-20T21:30:45Z
2015,338,Coppin St,NA,1015.8,8,23,31,0.258,8-23,Delaware St,1348,1412.3,2026-05-20T21:30:45Z
2015,339,Chicago St,NA,1014.9,8,24,32,0.25,8-24,Grand Canyon,1415.9,1383.3,2026-05-20T21:30:45Z
2015,340,Tennessee St,NA,1002.4,5,26,31,0.161,5-26,Tennessee Tech,1366.5,1434.4,2026-05-20T21:30:45Z
2015,341,NC A&T,NA,999.1,9,23,32,0.281,9-23,Hampton,1256.3,1285.3,2026-05-20T21:30:45Z
2015,342,Morgan St,NA,994.9,7,24,31,0.226,7-24,UC Irvine,1673,1381.1,2026-05-20T21:30:45Z
2015,343,C Connecticut,NA,991.5,5,26,31,0.161,5-26,St Francis PA,1524.7,1412.2,2026-05-20T21:30:45Z
2015,344,Alabama A&M,NA,980.6,9,20,29,0.31,9-20,Alabama St,1302.4,1230,2026-05-20T21:30:45Z
2015,345,LA Christian,NA,958.5,0,4,4,0,0-4,NA,NA,1462.9,2026-05-20T21:30:45Z
2015,346,Savannah State,NA,955.7,9,22,31,0.29,9-22,Cleveland St,1617.9,1330.3,2026-05-20T21:30:45Z
2015,347,Hiwassee,NA,934.6,0,4,4,0,0-4,NA,NA,1482.8,2026-05-20T21:30:45Z
2015,348,Hus-Till,NA,928.4,0,5,5,0,0-5,NA,NA,1602.9,2026-05-20T21:30:45Z
2015,349,Joh. & Wales NC,NA,907.3,0,4,4,0,0-4,NA,NA,1459.2,2026-05-20T21:30:45Z
2015,350,San José St,NA,902.5,2,28,30,0.067,2-28,St. Katherine,630.4,1599.4,2026-05-20T21:30:45Z
2015,351,LSU Alexandria,NA,895.3,0,5,5,0,0-5,NA,NA,1389,2026-05-20T21:30:45Z
2015,352,SD Christian,NA,893,0,7,7,0,0-7,NA,NA,1584.3,2026-05-20T21:30:45Z
2015,353,UMBC,NA,890.8,4,26,30,0.133,4-26,Kennesaw St,1139.8,1378.2,2026-05-20T21:30:45Z
2015,354,Champ. Christ.,NA,882.1,0,4,4,0,0-4,NA,NA,1417,2026-05-20T21:30:45Z
2015,355,Binghamton,NA,866.4,6,26,32,0.188,6-26,Vermont,1487.4,1384,2026-05-20T21:30:45Z
2015,356,Miss Valley St,NA,851.9,6,26,32,0.188,6-26,AR-Pine Bluff,1153.7,1322.1,2026-05-20T21:30:45Z
2015,357,Montreat ,NA,832.2,0,4,4,0,0-4,NA,NA,1388.8,2026-05-20T21:30:45Z
2015,358,Ferris St,NA,823,1,0,1,1,1-0,Bowling Green,1703.9,1703.9,2026-05-20T21:30:45Z
2015,359,Bristol Univ.,NA,787.2,0,5,5,0,0-5,NA,NA,1349.8,2026-05-20T21:30:45Z
2015,360,Alcorn St,NA,774.6,6,26,32,0.188,6-26,Prairie View,1123.7,1223.1,2026-05-20T21:30:45Z
2015,361,Maine,NA,774,3,27,30,0.1,3-27,Hartford,1320.8,1437.3,2026-05-20T21:30:45Z
2015,362,C Arkansas,NA,739.2,2,27,29,0.069,2-27,SE Louisiana,1225.6,1418.7,2026-05-20T21:30:45Z
2015,363,Central Penn,NA,737.2,0,5,5,0,0-5,NA,NA,1472.2,2026-05-20T21:30:45Z
2015,364,Caldwell ,NA,729.6,1,0,1,1,1-0,Binghamton,866.4,866.4,2026-05-20T21:30:45Z
2015,365,Franklin Pierce,NA,725,0,2,2,0,0-2,NA,NA,2013.9,2026-05-20T21:30:45Z
2015,366,Brescia,NA,721.8,0,2,2,0,0-2,NA,NA,1790.6,2026-05-20T21:30:45Z
2015,367,St. Thomas Aquinas,NA,720.3,0,2,2,0,0-2,NA,NA,2019.2,2026-05-20T21:30:45Z
2015,368,Trevecca,NA,716.4,0,2,2,0,0-2,NA,NA,1773.8,2026-05-20T21:30:45Z
