date,home,away,winner,loser,winner_pts,loser_pts,end_type
2015-10-21,Calgary Flames,Washington Capitals,Washington Capitals,Calgary Flames,6,2,REG
2015-10-21,Buffalo Sabres,Toronto Maple Leafs,Buffalo Sabres,Toronto Maple Leafs,2,1,SO
2015-10-22,Boston Bruins,Philadelphia Flyers,Philadelphia Flyers,Boston Bruins,5,4,OT
2015-10-22,Edmonton Oilers,Detroit Red Wings,Edmonton Oilers,Detroit Red Wings,3,1,REG
2015-10-22,New York Rangers,Arizona Coyotes,New York Rangers,Arizona Coyotes,4,1,REG
2015-10-22,Pittsburgh Penguins,Dallas Stars,Dallas Stars,Pittsburgh Penguins,4,1,REG
2015-10-22,Ottawa Senators,New Jersey Devils,New Jersey Devils,Ottawa Senators,5,4,SO
2015-10-23,Nashville Predators,Anaheim Ducks,Nashville Predators,Anaheim Ducks,5,1,REG
2015-10-23,Minnesota Wild,Columbus Blue Jackets,Minnesota Wild,Columbus Blue Jackets,3,2,REG
2015-10-23,Chicago Blackhawks,Florida Panthers,Chicago Blackhawks,Florida Panthers,3,2,REG
2015-10-23,Vancouver Canucks,Washington Capitals,Washington Capitals,Vancouver Canucks,3,2,REG
2015-10-23,San Jose Sharks,Los Angeles Kings,Los Angeles Kings,San Jose Sharks,4,1,REG
2015-10-23,Buffalo Sabres,Montreal Canadiens,Montreal Canadiens,Buffalo Sabres,6,2,REG
2015-10-23,New York Islanders,Boston Bruins,Boston Bruins,New York Islanders,5,3,REG
2015-10-24,Winnipeg Jets,Tampa Bay Lightning,Tampa Bay Lightning,Winnipeg Jets,4,3,OT
2015-10-24,Calgary Flames,Detroit Red Wings,Calgary Flames,Detroit Red Wings,3,2,OT
2015-10-24,Edmonton Oilers,Washington Capitals,Washington Capitals,Edmonton Oilers,7,4,REG
2015-10-24,Los Angeles Kings,Carolina Hurricanes,Los Angeles Kings,Carolina Hurricanes,3,0,REG
2015-10-24,Minnesota Wild,Anaheim Ducks,Minnesota Wild,Anaheim Ducks,3,0,REG
