season,rank,team,conference,elo,wins,losses,games_played,win_pct,record,best_win_team,best_win_elo,sos,updated_at
2025,206,Ball State,MAC,1231.2,2,5,7,0.286,2-5,Maryland,1530.2,1452,2026-05-21T03:41:59Z
2025,207,Sacramento St,NA,1230.7,1,4,5,0.2,1-4,Grand Canyon,1658.3,1554.9,2026-05-21T03:41:59Z
2025,208,Sacred Heart,NA,1224.5,1,6,7,0.143,1-6,Marist,1191.7,1502.1,2026-05-21T03:41:59Z
2025,209,E Illinois,NA,1222.9,2,2,4,0.5,2-2,Lindenwood,1192.7,1479.7,2026-05-21T03:41:59Z
2025,210,Indiana St,NA,1217.1,2,9,11,0.182,2-9,Indiana,1650.2,1607.7,2026-05-21T03:41:59Z
2025,211,Presbyterian,NA,1202,1,9,10,0.1,1-9,Alabama,1829.4,1717.7,2026-05-21T03:41:59Z
2025,212,Lindenwood,NA,1192.7,3,3,6,0.5,3-3,SIUE,880.8,1157.8,2026-05-21T03:41:59Z
2025,213,Air Force,Mountain West,1191.9,0,7,7,0,0-7,NA,NA,1893.6,2026-05-21T03:41:59Z
2025,214,Marist,NA,1191.7,3,4,7,0.429,3-4,Sacred Heart,1224.5,1315.3,2026-05-21T03:41:59Z
2025,215,NC A&T,NA,1180.2,0,7,7,0,0-7,NA,NA,1845.5,2026-05-21T03:41:59Z
2025,216,Purdue FW,NA,1173.8,1,6,7,0.143,1-6,Michigan St,1496.2,1722.5,2026-05-21T03:41:59Z
2025,217,Hofstra,NA,1173.2,0,7,7,0,0-7,NA,NA,1830.8,2026-05-21T03:41:59Z
2025,218,S Dakota St,NA,1166.3,0,5,5,0,0-5,NA,NA,1569.2,2026-05-21T03:41:59Z
2025,219,App State,Sun Belt,1153,0,10,10,0,0-10,NA,NA,1880.2,2026-05-21T03:41:59Z
2025,220,Saint Louis,NA,1151.5,2,2,4,0.5,2-2,George Mason,1386.8,1289.1,2026-05-21T03:41:59Z
2025,221,Princeton,NA,1150.5,1,8,9,0.111,1-8,Wake Forest,1778.6,1688.5,2026-05-21T03:41:59Z
2025,222,Dartmouth,NA,1149.9,0,7,7,0,0-7,NA,NA,1823.3,2026-05-21T03:41:59Z
2025,223,Valparaiso,NA,1147.4,2,8,10,0.2,2-8,Illinois,1495.9,1509.2,2026-05-21T03:41:59Z
2025,224,Saint Joseph's,NA,1133.6,1,5,6,0.167,1-5,Washington,1580,1518,2026-05-21T03:41:59Z
2025,225,Queens,NA,1130.9,0,11,11,0,0-11,NA,NA,1824.4,2026-05-21T03:41:59Z
2025,226,E Michigan,MAC,1125.3,2,9,11,0.182,2-9,Michigan,1610.4,1481.4,2026-05-21T03:41:59Z
2025,227,VCU,NA,1124.8,0,9,9,0,0-9,NA,NA,1734.3,2026-05-21T03:41:59Z
2025,228,Lipscomb,NA,1124.3,1,11,12,0.083,1-11,Kentucky,1845.6,1753.6,2026-05-21T03:41:59Z
2025,229,Seattle U,NA,1123.5,0,6,6,0,0-6,NA,NA,1618.6,2026-05-21T03:41:59Z
2025,230,Nicholls,NA,1118.5,1,3,4,0.25,1-3,Southern Miss,1849.4,1986.1,2026-05-21T03:41:59Z
2025,231,Dayton,NA,1118.2,1,6,7,0.143,1-6,Fordham,801,1593.7,2026-05-21T03:41:59Z
2025,232,Texas Southern,NA,1117.9,0,5,5,0,0-5,NA,NA,1687,2026-05-21T03:41:59Z
2025,233,Youngstown St,NA,1110.1,1,6,7,0.143,1-6,Purdue FW,1173.8,1478.3,2026-05-21T03:41:59Z
2025,234,UAlbany,NA,1108.3,2,2,4,0.5,2-2,Bryant,1404.1,1176.8,2026-05-21T03:41:59Z
2025,235,Canisius,NA,1103.5,0,7,7,0,0-7,NA,NA,1747.5,2026-05-21T03:41:59Z
2025,236,Army,NA,1102.1,2,3,5,0.4,2-3,Navy,985.8,1214.5,2026-05-21T03:41:59Z
