season,rank,team,conference,elo,wins,losses,games_played,win_pct,record,best_win_team,best_win_elo,sos,conf_champ,updated_at,baseline_elo,baseline_date,elo_change
2022,40,Texas Tech,Big 12,1776.9,39,22,61,0.639,39-22,Oklahoma,1979.5,1587.6,NA,2026-09-07T04:02:07Z,1776.9,2026-09-03,0
2022,41,TCU,Big 12,1773.2,38,22,60,0.633,38-22,Oklahoma,1979.5,1654.7,NA,2026-09-07T04:02:07Z,1773.2,2026-09-03,0
2022,42,GA Southern,Sun Belt,1770.7,14,14,28,0.5,14-14,Texas St,1812.5,1712.4,NA,2026-09-07T04:02:07Z,1770.7,2026-09-03,0
2022,43,Georgia,SEC,1769.9,36,23,59,0.61,36-23,Tennessee,2131.9,1715.4,NA,2026-09-07T04:02:07Z,1769.9,2026-09-03,0
2022,44,Delaware,CAA,1769.8,2,1,3,0.667,2-1,Notre Dame,1899.4,1827.8,NA,2026-09-07T04:02:07Z,1769.8,2026-09-03,0
2022,45,Oregon,Pac-12,1763.8,36,25,61,0.59,36-25,Stanford,1942.5,1624.9,NA,2026-09-07T04:02:07Z,1763.8,2026-09-03,0
2022,46,VCU,A-10,1759.2,9,8,17,0.529,9-8,North Carolina,1961,1728.1,NA,2026-09-07T04:02:07Z,1759.2,2026-09-03,0
2022,47,Clemson,ACC,1758,35,23,58,0.603,35-23,Wake Forest,1853.9,1668,NA,2026-09-07T04:02:07Z,1758,2026-09-03,0
2022,48,South Carolina,SEC,1757,27,28,55,0.491,27-28,Ole Miss,2100.2,1756.8,NA,2026-09-07T04:02:07Z,1757,2026-09-03,0
2022,49,San Diego,WCC,1756.2,9,5,14,0.643,9-5,Vanderbilt,1869.6,1709.3,NA,2026-09-07T04:02:07Z,1756.2,2026-09-03,0
2022,50,Abilene Chrstn,WAC/Southland,1753.3,9,5,14,0.643,9-5,Grand Canyon,1794.6,1620.4,NA,2026-09-07T04:02:07Z,1753.3,2026-09-03,0
2022,51,Georgia Tech,ACC,1750.9,36,24,60,0.6,36-24,Virginia Tech,1968.4,1669,NA,2026-09-07T04:02:07Z,1750.9,2026-09-03,0
2022,52,Florida St,ACC,1748.9,33,25,58,0.569,33-25,Florida,1945.5,1704.5,NA,2026-09-07T04:02:07Z,1748.9,2026-09-03,0
2022,53,Michigan,Big Ten,1741.3,33,28,61,0.541,33-28,Louisville,1885.9,1632.1,NA,2026-09-07T04:02:07Z,1741.3,2026-09-03,0
2022,54,SE Louisiana,WAC/Southland,1739.2,8,9,17,0.471,8-9,Ole Miss,2100.2,1783.1,NA,2026-09-07T04:02:07Z,1739.2,2026-09-03,0
2022,55,Rutgers,Big Ten,1732.6,44,15,59,0.746,44-15,Maryland,1792,1478.5,NA,2026-09-07T04:02:07Z,1732.6,2026-09-03,0
2022,56,LSU N Orleans,Other D1,1726.3,7,6,13,0.538,7-6,Oklahoma,1979.5,1716,NA,2026-09-07T04:02:07Z,1726.3,2026-09-03,0
